FIRE_YEAR,FIRE_SIZE,hours_to_control,Total_Federal_Spending,FIRE_SIZE_mean,hours_to_control_mean,Total_Federal_Spending_mean
1992,2199958.001,553418.76,377466000,2199958.001,553418.76,377466000
1993,2191696.003,393232.94,240436000,2191696.003,393232.94,213054300
1994,4116675.529,944646.93,918335000,2836109.844,630432.8767,512079000
1995,2049585.058,473317.43,477126000,2785985.53,603732.4333,545299000
1996,6005155.709,725571.37,701183000,4057138.765,714511.91,698881333.3
1997,3214635.31,443122.04,284148000,3756458.692,547336.9467,487485666.7
1998,2011102.4,528613.37,416704000,3743631.14,565768.9267,467345000
1999,6080199.715,708633.78,515516000,3768645.808,560123.0633,405456000
2000,7639498.644,1110553.97,1410802000,5243600.253,782600.3733,781007333.3
2001,3724072.304,728433.97,952696000,5814590.221,849207.24,959671333.3
2002,6803258.398,819135.14,1674040000,6055609.782,886041.0267,1345846000
2003,4483572.946,1126491.52,1327138000,5003634.549,891353.5433,1317958000
2004,8234208.174,793934.84,1007244000,6507013.173,913187.1667,1336140667
2005,9665105.128,1135607.22,818954000,7460962.083,1018677.86,1051112000
2006,10043497.91,1198772.18,1704477000,9314270.405,1042771.413,1176891667
2007,9265428.728,1291333.64,1620145000,9658010.589,1208571.013,1381192000
2008,5406532.107,1221057.97,1585856000,8238486.249,1237054.597,1636826000
2009,6057166.107,1488452.66,920529000,6909708.981,1333614.757,1375510000
2010,3493455.216,1137485.63,809499000,4985717.81,1282332.087,1105294667
2011,9623597.287,1189419.79,1374525000,6391406.203,1271786.027,1034851000
2012,9439888.452,1536762.21,1902446000,7518980.318,1287889.21,1362156667
2013,4492502.415,1363935,1740934000,7851996.051,1363372.333,1672635000
2014,3673490.393,5274167.21,1522149000,5868627.087,2724954.807,1721843000
2015,10218267.62,1612797.59,2130543000,6128086.808,2750299.933,1797875333
