FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
POWER,16823.0,CA,2004,Equipment Use
FREDS,7700.0,CA,2004,Equipment Use
THREE,16100.0,AZ,2005,Lightning
NINE,1149.0,CA,2005,Miscellaneous
OAK,1300.0,AZ,2005,Lightning
GREENBACK,730.0,AZ,2005,Lightning
TW0 BAR,2093.0,AZ,2005,Lightning
MESA CAMINO,512.0,NM,2005,Miscellaneous
SAWMILL GULCH,1199.0,MT,2005,Lightning
CAMP 32,800.0,MT,2005,Miscellaneous
BROTHER,760.0,KS,2005,Equipment Use
ECHO,780.0,OK,2005,Lightning
FORK,11936.0,NM,2005,Lightning
ERICKSON SPRING,2700.0,MT,2005,Lightning
MASON,11357.0,CO,2005,Lightning
BEATY CANYON,820.0,CO,2005,Lightning
MOORE DRAW,595.0,CO,2005,Equipment Use
FREEMAN,592.0,MO,2005,Debris Burning
BURNT CABIN,1977.0,OR,2005,Miscellaneous
CAMP FIVE,775.0,SD,2005,Campfire
RICCO,3959.0,SD,2005,Lightning
CEMENT,3025.0,WY,2005,Lightning
PLUM CANYON,995.0,CO,2005,Lightning
CLOVER,775.0,CA,2005,Miscellaneous
WILDHORSE,600.0,ID,2005,Campfire
GRASS SPRINGS,547.0,NV,2005,Arson
HALE GULCH,2643.0,ID,2005,Lightning
SNAKE RIDGE FIRE,1900.0,AZ,2005,Lightning
STODDARD CREEK POINT,4004.0,ID,2005,Lightning
BIG SANDS,2398.0,ID,2005,Lightning
ALPINE LAKE,1335.0,MN,2005,Lightning
RUNNING LAKE,7404.0,ID,2005,Lightning
CEDAR BAREFOOT,1777.5,ID,2005,Lightning
LODGEPOLE HUMP,1981.5,ID,2005,Lightning
MILL CREEK,7892.0,UT,2005,Lightning
WYLIES,817.0,ID,2005,Lightning
YANT,522.0,UT,2005,Lightning
UPPER MEADOW,600.0,ID,2005,Lightning
CENTER,687.0,ID,2005,Lightning
BOXCAR,1818.0,ID,2005,Lightning
AIRPORT,640.0,NM,2005,Lightning
BEAVER JACK,7244.4,ID,2005,Lightning
BURNT,4530.0,ID,2005,Lightning
MUNZ,800.0,CA,2005,Miscellaneous
CHINA TEN,1859.0,ID,2005,Lightning
HARDING,2270.0,CA,2005,Miscellaneous
KELLY POINT,3875.0,MT,2005,Campfire
