FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
POWER,16823.0,CA,2004,Equipment Use
FREDS,7700.0,CA,2004,Equipment Use
HOWARD GAP,50.3,NC,2005,Arson
AUSTIN CREEK,125.0,NC,2005,Debris Burning
SUMMIT,80.0,NV,2005,Lightning
8GN,80.0,CO,2005,Lightning
THOMPSON BUTTE,119.0,SD,2005,Lightning
CHARLES DRAW,119.0,SD,2005,Lightning
CHIMINEAS,90.0,CA,2005,Miscellaneous
THREE,16100.0,AZ,2005,Lightning
SLINKARD 2,89.0,CA,2005,Lightning
CEMETERY,55.0,TX,2005,Debris Burning
ENON CEMETARY,55.0,TX,2005,Lightning
CHICKEN LAKE,90.0,TX,2005,Equipment Use
NINE,1149.0,CA,2005,Miscellaneous
OAK,1300.0,AZ,2005,Lightning
GREENBACK,730.0,AZ,2005,Lightning
SALOME,495.0,AZ,2005,Lightning
TW0 BAR,2093.0,AZ,2005,Lightning
KOA,69.0,CA,2005,Miscellaneous
DAVENPORT,61.0,NM,2005,Lightning
WATERTON,68.0,CO,2005,Lightning
MESA CAMINO,512.0,NM,2005,Miscellaneous
LAMPKIN,236.0,MT,2005,Lightning
005 BOX,390.0,LA,2005,Campfire
SAWMILL GULCH,1199.0,MT,2005,Lightning
CAMP 32,800.0,MT,2005,Miscellaneous
EXPLOSIVE,58.0,UT,2005,Miscellaneous
010 EAST TAYLOR,162.0,LA,2005,Miscellaneous
017 MOTHERS DAY,205.0,LA,2005,Campfire
PAGET,423.3,MT,2005,Lightning
035 COOCHIE BRAKE,270.0,LA,2005,Lightning
HOLIDAY LAKE,81.35,MO,2005,Debris Burning
EAST FORK,170.0,NM,2005,Lightning
JOHN'S CREEK,62.69,MO,2005,Equipment Use
WOLF PEN HOLLOW,69.38,MO,2005,Miscellaneous
BROTHER,760.0,KS,2005,Equipment Use
LINE,320.0,AZ,2005,Smoking
PASTURE 1N,101.0,NE,2005,Lightning
ECHO,780.0,OK,2005,Lightning
DELTA,180.0,CO,2005,Lightning
BLAIR RIDGE,180.0,MO,2005,Debris Burning
BURROWS DRAW,411.0,CO,2005,Lightning
PAUMA,70.0,CA,2005,Arson
STONEY,81.0,OK,2005,Arson
HARVEY CREEK,228.0,FL,2005,Debris Burning
