STATE,FIRE_YEAR,STAT_CAUSE_DESCR,COUNT_CAUSES
AK,1992,Arson,21
AK,1992,Campfire,68
AK,1992,Children,39
AK,1992,Debris Burning,99
AK,1992,Equipment Use,9
AK,1992,Fireworks,22
AK,1992,Lightning,98
AK,1992,Miscellaneous,61
AK,1992,Missing/Undefined,2
AK,1992,Powerline,22
AK,1992,Smoking,19
AK,1992,Structure,21
AK,1993,Arson,29
AK,1993,Campfire,128
AK,1993,Children,57
AK,1993,Debris Burning,98
AK,1993,Equipment Use,20
AK,1993,Fireworks,28
AK,1993,Lightning,276
AK,1993,Miscellaneous,137
AK,1993,Powerline,29
AK,1993,Smoking,29
AK,1993,Structure,30
AK,1994,Arson,18
AK,1994,Campfire,69
AK,1994,Children,51
AK,1994,Debris Burning,110
AK,1994,Equipment Use,10
AK,1994,Fireworks,22
AK,1994,Lightning,208
AK,1994,Miscellaneous,98
AK,1994,Missing/Undefined,3
AK,1994,Powerline,8
AK,1994,Smoking,25
AK,1994,Structure,18
AK,1995,Arson,16
AK,1995,Campfire,38
AK,1995,Children,37
AK,1995,Debris Burning,111
AK,1995,Equipment Use,9
AK,1995,Fireworks,5
AK,1995,Lightning,63
AK,1995,Miscellaneous,79
AK,1995,Missing/Undefined,1
AK,1995,Powerline,24
AK,1995,Smoking,19
AK,1995,Structure,16
AK,1996,Arson,43
AK,1996,Campfire,116
AK,1996,Children,63
AK,1996,Debris Burning,174
AK,1996,Equipment Use,30
AK,1996,Fireworks,9
AK,1996,Lightning,142
AK,1996,Miscellaneous,54
AK,1996,Powerline,17
AK,1996,Railroad,2
AK,1996,Smoking,40
AK,1996,Structure,28
AK,1997,Arson,8
AK,1997,Campfire,92
AK,1997,Children,45
AK,1997,Debris Burning,140
AK,1997,Equipment Use,19
AK,1997,Fireworks,13
AK,1997,Lightning,241
AK,1997,Miscellaneous,89
AK,1997,Missing/Undefined,1
AK,1997,Powerline,24
AK,1997,Smoking,26
AK,1997,Structure,23
AK,1998,Arson,9
AK,1998,Campfire,70
AK,1998,Children,35
AK,1998,Debris Burning,104
AK,1998,Equipment Use,12
AK,1998,Fireworks,5
AK,1998,Lightning,48
AK,1998,Miscellaneous,68
AK,1998,Powerline,35
AK,1998,Smoking,9
AK,1998,Structure,13
AK,1999,Arson,4
AK,1999,Campfire,45
AK,1999,Children,34
AK,1999,Debris Burning,106
AK,1999,Equipment Use,16
AK,1999,Fireworks,6
AK,1999,Lightning,157
AK,1999,Miscellaneous,63
AK,1999,Missing/Undefined,2
AK,1999,Powerline,21
AK,1999,Smoking,9
AK,1999,Structure,19
AK,2000,Arson,11
AK,2000,Campfire,57
AK,2000,Children,19
AK,2000,Debris Burning,83
AK,2000,Equipment Use,13
AK,2000,Fireworks,12
AK,2000,Lightning,83
AK,2000,Miscellaneous,43
AK,2000,Powerline,13
AK,2000,Railroad,1
AK,2000,Smoking,6
