STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,TOTAL_FIRE_SIZE
AK,1992,296.70977130977366,142717.4000000011
AK,1993,798.1318234610827,687191.4999999922
AK,1994,409.3201562500025,261964.9000000016
AK,1995,105.17248803827688,43962.09999999973
AK,1996,833.9793871866189,598797.1999999923
AK,1997,2810.269764216402,2026204.5000000258
AK,1998,296.0345588235325,120782.10000000127
AK,1999,2086.8126555809013,1005843.6999899945
AK,2000,2077.9648351648243,756379.1999999961
AK,2001,609.209695290862,219924.7000000012
AK,2002,4064.397955390376,2186646.100000022
AK,2003,1258.7322384937122,601674.0099999944
AK,2004,9498.36974090765,6591868.600189908
AK,2005,7489.335463650962,4635898.651999947
AK,2006,845.5607973421953,254513.80000000077
AK,2007,1236.7760234307914,634466.100019996
AK,2008,250.61680216802387,92477.6000000008
AK,2009,5749.695847953249,2949593.970000016
AK,2010,1646.2122575976834,1137532.6699999992
AK,2011,576.7797244094486,293004.09999999986
AK,2012,734.9315403422889,300586.9999999962
AK,2013,2231.012331081117,1320759.3000000212
AK,2014,594.4052926208685,233601.28000000128
AK,2015,6662.39138780795,5136703.75999993
AL,1992,13.475268817204304,1253.2
AL,1993,17.056934306569342,2336.8
AL,1994,10.041830822711423,34664.399999999834
AL,1995,9.195413711583885,38896.599999999846
AL,1996,11.779446640316126,47683.19999999968
AL,1997,8.51231184870707,22055.400000000016
AL,1998,9.972125630958995,35560.59999999978
AL,1999,11.674783381470649,52548.199999999386
AL,2000,14.091219667943792,88267.39999999992
AL,2001,11.814777878513055,39095.099999999715
AL,2002,13.224880382775053,38695.99999999981
AL,2003,11.388415570175447,20772.47000000002
AL,2004,15.352599869024155,46886.839999999786
AL,2005,16.964259913623813,43207.969999999856
AL,2006,20.154324803648354,79549.12000000004
AL,2007,14.814816070962605,56785.189999999675
AL,2008,11.57867296222664,23296.29
AL,2009,18.168906705539342,24927.739999999976
AL,2010,14.445063508410499,42078.46999999978
AL,2011,26.492252693437774,54097.17999999992
AL,2012,16.689444762449913,29156.46
AL,2013,17.92539520958064,29935.40999999966
AL,2014,15.699547146401631,37961.50499999914
AL,2015,14.866783992285171,30833.709999999443
AR,1992,11.550781249999995,1478.4999999999993
AR,1993,11.6569536423841,1760.1999999999994
AR,1994,13.795808383233512,2303.8999999999965
AR,1995,21.62666666666667,5190.4000000000015
AR,1996,23.601785714285718,5286.800000000001
AR,1997,11.002307692307694,11442.4
AR,1998,11.265657439446366,13023.1
AR,1999,10.805890287769783,24032.300000000007
AR,2000,12.294752433347435,29052.499999999996
AR,2001,11.415323854660347,14451.8
AR,2002,13.635364635364633,13648.999999999998
AR,2003,15.616688701923074,25986.17
AR,2004,17.336121700879755,23646.46999999999
AR,2005,17.61031794860627,40433.290010000004
AR,2006,26.425441462465955,67939.80999999997
AR,2007,19.742059953881636,25684.42
AR,2008,12.683386183465457,11199.43
AR,2009,16.52020446096654,17775.739999999998
AR,2010,15.655274774774776,34754.71
AR,2011,18.813703849175123,47899.68999999986
AR,2012,16.524240748617608,38848.49000000001
AR,2013,15.700932703659976,13298.69
AR,2014,16.24834749034749,21041.61
AR,2015,14.532513576415832,18732.410000000007
AZ,1992,12.190512306811536,42593.6499999995
AZ,1993,44.31278723862958,205567.02000000267
AZ,1994,49.61268754149331,224199.73500000825
AZ,1995,58.2303043091969,262152.83000000444
AZ,1996,49.82732385004186,187400.56500000745
AZ,1997,5.936400000000041,13356.90000000009
AZ,1998,10.219783501306566,27378.800000000283
AZ,1999,26.973318713450627,73799.00000000093
AZ,2000,24.076263280642827,92910.30000000069
AZ,2001,11.241914626490829,35816.73999999977
AZ,2002,215.8120082248052,629739.4399999816
AZ,2003,68.59081618655885,200010.8200000056
