STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
AK,1992,296.7097713097736,3.5203426124197,185.8778977272727,142717.4000000011,1644.0,32714.51
AK,1993,798.1318234610827,5.395321637426901,211.81224489795935,687191.4999999922,4613.0,83030.40000000007
AK,1994,409.3201562500025,5.525236593059937,251.46624535315985,261964.90000000162,3503.0,67644.42
AK,1995,105.17248803827687,2.9784172661870505,143.19947368421055,43962.09999999973,1242.0,16324.740000000002
AK,1996,833.9793871866187,11.290909090909091,275.62027272727283,598797.1999999923,2484.0,60636.46000000002
AK,1997,2810.269764216402,10.606870229007633,259.0562213740459,2026204.500000026,2779.0,67872.73000000003
AK,1998,296.0345588235325,5.0588235294117645,125.3042156862745,120782.10000000127,516.0,12781.029999999999
AK,1999,2086.8126555809017,13.629213483146067,331.585168539326,1005843.6999899946,2426.0,59022.160000000025
AK,2000,2077.9648351648243,19.078125,462.87148437500014,756379.1999999961,2442.0,59247.55000000002
AK,2001,609.209695290862,8.171717171717171,199.88585858585853,219924.70000000118,809.0,19788.699999999993
AK,2002,4064.3979553903755,18.972826086956523,452.9037158469945,2186646.100000022,3491.0,82881.37999999999
AK,2003,1258.7322384937122,8.112582781456954,198.8793377483443,601674.0099999944,1225.0,30030.77999999999
AK,2004,9498.36974090765,24.054285714285715,584.545459770115,6591868.600189909,8419.0,203421.82000000004
AK,2005,7489.335463650962,23.29793510324484,563.2719764011803,4635898.651999946,7898.0,190949.2000000001
AK,2006,845.5607973421953,9.783505154639176,238.74927835051545,254513.80000000077,949.0,23158.68
AK,2007,1236.7760234307916,15.413284132841328,373.6122878228784,634466.100019996,4177.0,101248.93000000004
AK,2008,250.61680216802387,6.540697674418604,272.87067114093963,92477.6000000008,2250.0,40657.73
AK,2009,5749.695847953248,12.497053045186641,448.10747967479665,2949593.970000016,6361.0,110234.43999999997
AK,2010,1646.2122575976834,12.242028985507247,381.2921568627451,1137532.6699999992,8447.0,155567.2
AK,2011,576.7797244094486,5.494356659142213,309.65532967032965,293004.09999999986,2434.0,56357.27
AK,2012,734.931540342289,4.663841807909605,210.7929299363057,300586.9999999962,1651.0,33094.49
AK,2013,2231.012331081117,10.294227188081937,444.7005263157896,1320759.3000000212,5528.0,101391.72000000003
AK,2014,594.4052926208685,3.858044164037855,206.8208333333334,233601.2800000013,1223.0,24818.50000000001
AK,2015,6662.39138780795,24.7716955941255,888.2923963133636,5136703.75999993,18554.0,385518.8999999998
AL,1992,13.475268817204302,0.05434782608695652,4.171195652173914,1253.2,5.0,383.75000000000006
AL,1993,17.056934306569342,0.1984732824427481,10.378091603053432,2336.7999999999997,26.0,1359.5299999999997
AL,1994,10.041830822711423,0.09523809523809523,5.678452380952379,34664.399999999834,8.0,476.98999999999984
AL,1995,9.195413711583889,0.1953125,8.12734375,38896.59999999985,25.0,1040.3
AL,1996,11.779446640316127,0.47572815533980584,16.66864077669903,47683.199999999684,49.0,1716.8700000000001
AL,1997,8.51231184870707,0.5185185185185185,16.984074074074073,22055.400000000016,28.0,917.14
AL,1998,9.972125630958995,0.488,15.099920000000003,35560.59999999978,61.0,1887.4900000000002
AL,1999,11.674783381470649,2.6315789473684212,67.76436090225563,52548.199999999386,350.0,9012.66
AL,2000,14.091219667943793,0.5192307692307693,16.257596153846155,88267.39999999992,54.0,1690.7900000000002
AL,2001,11.814777878513057,2.3943661971830985,62.241690140845066,39095.09999999971,170.0,4419.16
AL,2002,13.224880382775055,2.7285714285714286,70.68785714285715,38695.99999999981,191.0,4948.150000000001
AL,2003,11.388415570175448,0.037383177570093455,2.91193080357143,20772.47000000002,68.0,5218.180000000003
AL,2004,15.352599869024157,0.04191224623444663,3.119825082508245,46886.83999999978,128.0,9453.069999999983
AL,2005,16.964259913623813,0.04681353265145555,3.4538902147971293,43207.969999999856,119.0,8683.079999999984
AL,2006,20.15432480364835,0.10619242579324463,5.198442579968551,79549.12000000004,415.0,19826.860000000055
AL,2007,14.814816070962605,0.1020675215912065,5.0160318725099655,56785.18999999967,390.0,18885.36000000002
AL,2008,11.57867296222664,0.08258258258258258,4.217772609819121,23296.29,165.0,8161.3899999999985
AL,2009,18.168906705539342,0.08717948717948718,4.611427503736924,24927.739999999976,119.0,6170.090000000005
AL,2010,14.445063508410499,0.47090229578216763,362.48629629629625,42078.46999999978,882.0,19574.26
AL,2011,26.492252693437766,0.16073194856577647,6.438263681592039,54097.17999999992,325.0,12940.909999999998
AL,2012,16.689444762449913,0.15348288075560804,81.62333333333333,29156.46,260.0,4162.79
AL,2013,17.92539520958064,0.10057288351368555,52.868500000000004,29935.409999999665,158.0,2114.7400000000002
AL,2014,15.69954714640163,0.10311958405545928,45.59133333333334,37961.50499999914,238.0,1367.7400000000002
AL,2015,14.86678399228517,0.0880281690140845,16.198235294117648,30833.709999999443,175.0,275.37
