STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
AK,1992,3.5203426124197,1644.0
AK,1993,5.395321637426901,4613.0
AK,1994,5.525236593059937,3503.0
AK,1995,2.9784172661870505,1242.0
AK,1996,11.290909090909093,2484.0
AK,1997,10.606870229007633,2779.0
AK,1998,5.0588235294117645,516.0
AK,1999,13.629213483146069,2426.0
AK,2000,19.078125,2442.0
AK,2001,8.171717171717171,809.0
AK,2002,18.972826086956523,3491.0
AK,2003,8.112582781456954,1225.0
AK,2004,24.05428571428572,8419.0
AK,2005,23.29793510324484,7898.0
AK,2006,9.783505154639176,949.0
AK,2007,15.413284132841326,4177.0
AK,2008,6.540697674418603,2250.0
AK,2009,12.497053045186641,6361.0
AK,2010,12.242028985507247,8447.0
AK,2011,5.494356659142213,2434.0
AK,2012,4.663841807909606,1651.0
AK,2013,10.294227188081935,5528.0
AK,2014,3.8580441640378553,1223.0
AK,2015,24.7716955941255,18554.0
AL,1992,0.05434782608695652,5.0
AL,1993,0.1984732824427481,26.0
AL,1994,0.09523809523809523,8.0
AL,1995,0.1953125,25.0
AL,1996,0.4757281553398058,49.0
AL,1997,0.5185185185185185,28.0
AL,1998,0.488,61.0
AL,1999,2.631578947368421,350.0
AL,2000,0.5192307692307693,54.0
AL,2001,2.3943661971830985,170.0
AL,2002,2.7285714285714286,191.0
AL,2003,0.037383177570093455,68.0
AL,2004,0.04191224623444663,128.0
AL,2005,0.04681353265145555,119.0
AL,2006,0.10619242579324464,415.0
AL,2007,0.1020675215912065,390.0
AL,2008,0.08258258258258258,165.0
AL,2009,0.08717948717948718,119.0
AL,2010,0.4709022957821676,882.0
AL,2011,0.16073194856577647,325.0
AL,2012,0.15348288075560804,260.0
AL,2013,0.10057288351368557,158.0
AL,2014,0.10311958405545928,238.0
AL,2015,0.0880281690140845,175.0
AR,1992,0.1452991452991453,17.0
AR,1993,0.22142857142857145,31.0
AR,1994,0.20134228187919465,30.0
AR,1995,0.2913043478260869,67.0
AR,1996,0.2186046511627907,47.0
AR,1997,0.459016393442623,56.0
AR,1998,0.2222222222222222,30.0
AR,1999,2.315217391304348,426.0
AR,2000,0.5268817204301075,98.0
