FIRE_YEAR,STAT_CAUSE_DESCR,STATE,COUNT_CAUSES
1992,Arson,49,49
1992,Campfire,41,41
1992,Children,38,38
1992,Debris Burning,44,44
1992,Equipment Use,43,43
1992,Fireworks,23,23
1992,Lightning,36,36
1992,Miscellaneous,46,46
1992,Missing/Undefined,17,17
1992,Powerline,22,22
1992,Railroad,31,31
1992,Smoking,41,41
1992,Structure,9,9
1993,Arson,44,44
1993,Campfire,44,44
1993,Children,33,33
1993,Debris Burning,42,42
1993,Equipment Use,40,40
1993,Fireworks,25,25
1993,Lightning,40,40
1993,Miscellaneous,46,46
1993,Missing/Undefined,17,17
1993,Powerline,20,20
1993,Railroad,33,33
1993,Smoking,42,42
1993,Structure,9,9
1994,Arson,48,48
1994,Campfire,45,45
1994,Children,38,38
1994,Debris Burning,45,45
1994,Equipment Use,42,42
1994,Fireworks,20,20
1994,Lightning,40,40
1994,Miscellaneous,48,48
1994,Missing/Undefined,24,24
1994,Powerline,19,19
1994,Railroad,34,34
1994,Smoking,44,44
1994,Structure,14,14
1995,Arson,45,45
1995,Campfire,43,43
1995,Children,39,39
1995,Debris Burning,48,48
1995,Equipment Use,43,43
1995,Fireworks,20,20
1995,Lightning,40,40
1995,Miscellaneous,48,48
1995,Missing/Undefined,27,27
1995,Powerline,18,18
1995,Railroad,33,33
1995,Smoking,42,42
1995,Structure,11,11
1996,Arson,46,46
1996,Campfire,44,44
1996,Children,33,33
1996,Debris Burning,43,43
1996,Equipment Use,41,41
1996,Fireworks,21,21
1996,Lightning,37,37
1996,Miscellaneous,46,46
1996,Missing/Undefined,22,22
1996,Powerline,21,21
1996,Railroad,35,35
1996,Smoking,39,39
1996,Structure,13,13
1997,Arson,44,44
1997,Campfire,43,43
1997,Children,38,38
1997,Debris Burning,46,46
1997,Equipment Use,46,46
1997,Fireworks,25,25
1997,Lightning,39,39
1997,Miscellaneous,48,48
1997,Missing/Undefined,16,16
1997,Powerline,19,19
1997,Railroad,33,33
1997,Smoking,45,45
1997,Structure,15,15
1998,Arson,44,44
1998,Campfire,42,42
1998,Children,38,38
1998,Debris Burning,46,46
1998,Equipment Use,43,43
1998,Fireworks,23,23
1998,Lightning,41,41
1998,Miscellaneous,46,46
1998,Missing/Undefined,20,20
1998,Powerline,24,24
1998,Railroad,35,35
1998,Smoking,43,43
1998,Structure,10,10
1999,Arson,44,44
1999,Campfire,43,43
1999,Children,37,37
1999,Debris Burning,45,45
1999,Equipment Use,45,45
1999,Fireworks,22,22
1999,Lightning,42,42
