STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
CA,0.25,A,2004/5/12
NM,0.25,A,2004/7/1
NM,0.25,A,2004/3/18
NM,0.25,A,2004/5/11
WY,0.25,A,2005/6/6
MT,0.25,A,2005/7/5
WY,0.25,A,2005/4/14
NM,0.25,A,2005/6/22
NV,0.25,A,2005/7/15
OR,0.25,A,2005/6/19
OR,0.25,A,2005/6/20
OR,0.25,A,2005/6/20
MN,0.25,A,2005/7/14
CA,0.25,A,2005/5/29
CA,0.25,A,2005/5/29
CA,0.25,A,2005/7/28
MN,0.25,A,2005/5/31
CA,0.25,A,2005/6/2
NV,0.25,A,2005/6/23
NV,0.25,A,2005/7/20
MN,0.25,A,2005/4/13
AZ,0.25,A,2005/6/25
CA,0.25,A,2005/7/28
AZ,0.25,A,2005/4/15
CO,0.25,A,2005/6/24
AZ,0.25,A,2005/4/22
AZ,0.25,A,2005/5/30
SD,0.25,A,2005/6/2
SC,0.25,A,2005/3/11
NM,0.25,A,2005/7/17
NM,0.25,A,2005/7/22
NM,0.25,A,2005/6/13
NM,0.25,A,2005/6/27
NM,0.25,A,2005/7/19
CO,0.25,A,2005/7/12
AZ,0.25,A,2005/7/11
AZ,0.25,A,2005/7/15
NM,0.25,A,2005/4/6
AZ,0.25,A,2005/7/16
CO,0.25,A,2005/7/15
CO,0.25,A,2005/7/14
AZ,0.25,A,2005/7/21
NM,0.25,A,2005/4/11
AZ,0.25,A,2005/7/17
NM,0.25,A,2005/8/10
NM,0.25,A,2005/6/19
CA,0.25,A,2005/8/11
OR,0.25,A,2005/8/1
AZ,0.25,A,2005/8/7
NM,0.25,A,2005/8/10
AZ,0.25,A,2005/7/21
ID,0.25,A,2005/8/8
MT,0.25,A,2005/8/11
MT,0.25,A,2005/8/14
CA,0.25,A,2005/8/9
CA,0.25,A,2005/8/16
CA,0.25,A,2005/8/16
SD,0.25,A,2005/8/7
NM,0.25,A,2005/7/17
NM,0.25,A,2005/6/15
MT,0.25,A,2005/4/28
MT,0.25,A,2005/6/2
UT,0.25,A,2005/6/18
ID,0.25,A,2005/8/8
AR,0.25,A,2005/8/10
NM,0.25,A,2005/6/4
ID,0.25,A,2005/7/28
ID,0.25,A,2005/8/2
AZ,0.25,A,2005/7/15
AZ,0.25,A,2005/7/17
AZ,0.25,A,2005/7/22
MO,9.98,B,2005/3/21
