STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
CA,2004,0.25,A,2004-05-12
NM,2004,0.25,A,2004-07-01
NM,2004,0.25,A,2004-03-18
NM,2004,0.25,A,2004-05-11
WY,2005,0.25,A,2005-06-06
MT,2005,9.0,B,2005-03-06
MT,2005,0.25,A,2005-07-05
WY,2005,0.25,A,2005-04-14
NM,2005,0.25,A,2005-06-22
NV,2005,0.25,A,2005-07-15
OR,2005,0.25,A,2005-06-19
OR,2005,0.25,A,2005-06-20
OR,2005,0.25,A,2005-06-20
MN,2005,0.25,A,2005-07-14
CA,2005,0.25,A,2005-05-29
CA,2005,0.25,A,2005-05-29
CA,2005,0.25,A,2005-07-28
MN,2005,0.25,A,2005-05-31
AZ,2005,8.7,B,2005-05-30
CA,2005,0.25,A,2005-06-02
NV,2005,0.25,A,2005-06-23
NV,2005,0.25,A,2005-07-20
MN,2005,0.25,A,2005-04-13
AZ,2005,0.25,A,2005-06-25
CA,2005,0.25,A,2005-07-28
AZ,2005,0.25,A,2005-04-15
CO,2005,0.25,A,2005-06-24
AZ,2005,0.25,A,2005-04-22
AZ,2005,0.25,A,2005-05-30
SD,2005,0.25,A,2005-06-02
SC,2005,0.25,A,2005-03-11
NM,2005,0.25,A,2005-07-17
NM,2005,0.25,A,2005-07-22
NM,2005,0.25,A,2005-06-13
NM,2005,0.25,A,2005-06-27
NM,2005,0.25,A,2005-07-19
CO,2005,0.25,A,2005-07-12
AZ,2005,0.25,A,2005-07-11
AZ,2005,0.25,A,2005-07-15
NM,2005,0.25,A,2005-04-06
AZ,2005,0.25,A,2005-07-16
CO,2005,0.25,A,2005-07-15
CO,2005,0.25,A,2005-07-14
AZ,2005,0.25,A,2005-07-21
NM,2005,0.25,A,2005-04-11
AZ,2005,0.25,A,2005-07-17
OR,2005,9.2,B,2005-03-16
NM,2005,0.25,A,2005-08-10
NM,2005,0.25,A,2005-06-19
CA,2005,0.25,A,2005-08-11
OR,2005,0.25,A,2005-08-01
AZ,2005,0.25,A,2005-08-07
NM,2005,0.25,A,2005-08-10
AZ,2005,0.25,A,2005-07-21
ID,2005,0.25,A,2005-08-08
MT,2005,0.25,A,2005-08-11
MT,2005,0.25,A,2005-08-14
CA,2005,0.25,A,2005-08-09
CA,2005,0.25,A,2005-08-16
CA,2005,0.25,A,2005-08-16
SD,2005,0.25,A,2005-08-07
LA,2005,9.0,B,2005-04-27
NM,2005,0.25,A,2005-07-17
NM,2005,0.25,A,2005-06-15
MT,2005,0.25,A,2005-04-28
MT,2005,0.25,A,2005-06-02
UT,2005,0.25,A,2005-06-18
ID,2005,0.25,A,2005-08-08
AR,2005,0.25,A,2005-08-10
NM,2005,0.25,A,2005-06-04
ID,2005,0.25,A,2005-07-28
ID,2005,0.25,A,2005-08-02
AZ,2005,0.25,A,2005-07-15
AZ,2005,0.25,A,2005-07-17
AZ,2005,0.25,A,2005-07-22
MO,2005,9.98,B,2005-03-21
OR,2005,0.25,A,2005-08-08
MT,2005,0.25,A,2005-07-22
ID,2005,0.25,A,2005-08-21
NM,2005,0.25,A,2005-07-03
FL,2005,0.25,A,2005-02-09
FL,2005,0.25,A,2005-02-13
MT,2005,8.5,B,2005-08-09
FL,2005,0.25,A,2005-02-14
SD,2005,0.25,A,2005-08-26
OR,2005,0.25,A,2005-07-30
OR,2005,0.25,A,2005-08-07
AZ,2005,0.25,A,2005-07-15
OR,2005,0.25,A,2005-07-31
AZ,2005,9.0,B,2005-06-05
CA,2005,0.25,A,2005-06-24
NM,2005,0.25,A,2005-07-15
NM,2005,0.25,A,2005-09-09
ID,2005,0.25,A,2005-08-25
ID,2005,0.25,A,2005-07-08
ID,2005,0.25,A,2005-08-04
NM,2005,0.25,A,2005-07-16
CO,2005,0.25,A,2005-07-17
MO,2005,8.77,B,2005-03-30
NM,2005,0.25,A,2005-07-16
MT,2005,0.25,A,2005-09-03
MT,2005,0.25,A,2005-09-03
MT,2005,0.25,A,2005-09-03
MT,2005,0.25,A,2005-09-04
MT,2005,0.25,A,2005-09-05
MT,2005,0.25,A,2005-09-08
WY,2005,0.25,A,2005-07-19
CA,2005,0.25,A,2005-09-05
FL,2005,0.25,A,2005-05-10
AZ,2005,0.25,A,2005-07-23
ID,2005,0.25,A,2005-08-06
AZ,2005,0.25,A,2005-07-31
AZ,2005,0.25,A,2005-08-03
SD,2005,0.25,A,2005-09-06
MO,2005,9.1,B,2005-03-31
